ano,mes,nome_mes,estacao,regiao,cid_principal,desc_cid,total_internacoes,custo_total,ticket_medio,media_dias
2022,1,Janeiro,Verão,Sul,A09,Diarreia e Gastroenterite,15,19742.6,1316.17,4.2
2022,1,Janeiro,Verão,Sudeste,A09,Diarreia e Gastroenterite,72,113550.37,1577.09,5.7
2022,1,Janeiro,Verão,Centro-Oeste,A09,Diarreia e Gastroenterite,5,6105.21,1221.04,2.6
2022,1,Janeiro,Verão,Nordeste,A09,Diarreia e Gastroenterite,29,45811.71,1579.71,4.2
2022,1,Janeiro,Verão,Centro-Oeste,A90,Dengue,7,17933.79,2561.97,10.6
2022,1,Janeiro,Verão,Sudeste,A90,Dengue,77,184576.05,2397.09,4.8
2022,1,Janeiro,Verão,Sul,A90,Dengue,29,73552.87,2536.31,4.3
2022,1,Janeiro,Verão,Nordeste,A90,Dengue,31,81559.97,2630.97,5.7
2022,1,Janeiro,Verão,Sul,B24,Doença pelo HIV,15,116683.72,7778.91,5.1
2022,1,Janeiro,Verão,Nordeste,B24,Doença pelo HIV,14,107975.6,7712.54,4.8
2022,1,Janeiro,Verão,Sudeste,B24,Doença pelo HIV,28,255472.05,9124.0,4.1
2022,1,Janeiro,Verão,Centro-Oeste,B24,Doença pelo HIV,5,32759.65,6551.93,4.8
2022,1,Janeiro,Verão,Sul,C50,Neoplasia Maligna da Mama,15,376382.08,25092.14,5.5
2022,1,Janeiro,Verão,Sudeste,C50,Neoplasia Maligna da Mama,46,1207276.29,26245.14,4.5
2022,1,Janeiro,Verão,Centro-Oeste,C50,Neoplasia Maligna da Mama,2,56424.92,28212.46,2.0
2022,1,Janeiro,Verão,Nordeste,C50,Neoplasia Maligna da Mama,10,248774.44,24877.44,5.1
2022,1,Janeiro,Verão,Sudeste,E11,Diabetes Mellitus Tipo 2,88,317037.04,3602.69,4.9
2022,1,Janeiro,Verão,Centro-Oeste,E11,Diabetes Mellitus Tipo 2,6,22533.59,3755.6,10.3
