uf;regiao;ano;mes;nome_mes;estacao;total_internacoes;custo_total;ticket_medio;internacoes_urgencia;internacoes_eletivas
BA;Nordeste;2022;1;Janeiro;Verão;135;839632,14;6219,5;82;53
CE;Nordeste;2022;1;Janeiro;Verão;117;774989,13;6623,84;75;42
GO;Centro-Oeste;2022;1;Janeiro;Verão;88;608504,36;6914,82;52;36
MG;Sudeste;2022;1;Janeiro;Verão;254;1620951,83;6381,7;152;102
PE;Nordeste;2022;1;Janeiro;Verão;106;598984,84;5650,8;59;47
PR;Sul;2022;1;Janeiro;Verão;140;999352,32;7138,23;85;55
RJ;Sudeste;2022;1;Janeiro;Verão;328;2330085,28;7103,92;208;120
RS;Sul;2022;1;Janeiro;Verão;138;806140,17;5841,6;86;52
SC;Sul;2022;1;Janeiro;Verão;91;562962,22;6186,4;70;21
SP;Sudeste;2022;1;Janeiro;Verão;503;3622575,62;7201,94;308;195
BA;Nordeste;2022;2;Fevereiro;Verão;156;1089343,56;6982,97;92;64
CE;Nordeste;2022;2;Fevereiro;Verão;112;758385,22;6771,3;69;43
GO;Centro-Oeste;2022;2;Fevereiro;Verão;94;511758,27;5444,24;64;30
MG;Sudeste;2022;2;Fevereiro;Verão;263;1806656,31;6869,42;156;107
PE;Nordeste;2022;2;Fevereiro;Verão;99;707276,36;7144,21;61;38
PR;Sul;2022;2;Fevereiro;Verão;129;872708,51;6765,18;78;51
RJ;Sudeste;2022;2;Fevereiro;Verão;318;2041664,67;6420,33;183;135
RS;Sul;2022;2;Fevereiro;Verão;139;907236,77;6526,88;89;50
SC;Sul;2022;2;Fevereiro;Verão;89;588837,64;6616,15;48;41
SP;Sudeste;2022;2;Fevereiro;Verão;496;3454600,19;6964,92;303;193
BA;Nordeste;2022;3;Março;Outono;176;1216154,97;6909,97;107;69
CE;Nordeste;2022;3;Março;Outono;115;685254,15;5958,73;66;49
GO;Centro-Oeste;2022;3;Março;Outono;95;613502,92;6457,93;54;41
MG;Sudeste;2022;3;Março;Outono;222;1349525,28;6078,94;125;97
PE;Nordeste;2022;3;Março;Outono;115;845256,66;7350,06;73;42
PR;Sul;2022;3;Março;Outono;140;934957,75;6678,27;82;58
RJ;Sudeste;2022;3;Março;Outono;301;2022465,5;6719,15;185;116
RS;Sul;2022;3;Março;Outono;145;995149,04;6863,1;78;67
SC;Sul;2022;3;Março;Outono;100;585112,67;5851,13;53;47
SP;Sudeste;2022;3;Março;Outono;450;3077583,34;6839,07;267;183
BA;Nordeste;2022;4;Abril;Outono;152;686268,43;4514,92;91;61
CE;Nordeste;2022;4;Abril;Outono;95;448594,01;4722,04;60;35
GO;Centro-Oeste;2022;4;Abril;Outono;89;388288,93;4362,8;54;35
MG;Sudeste;2022;4;Abril;Outono;238;1049293,47;4408,8;138;100
PE;Nordeste;2022;4;Abril;Outono;100;492016,78;4920,17;59;41
PR;Sul;2022;4;Abril;Outono;125;658415,05;5267,32;64;61
RJ;Sudeste;2022;4;Abril;Outono;361;1771967,48;4908,5;220;141
RS;Sul;2022;4;Abril;Outono;122;568880,65;4662,96;68;54
SC;Sul;2022;4;Abril;Outono;106;562719,58;5308,68;63;43
SP;Sudeste;2022;4;Abril;Outono;483;2213947,7;4583,74;269;214
BA;Nordeste;2022;5;Maio;Outono;162;791551,88;4886,12;101;61
CE;Nordeste;2022;5;Maio;Outono;92;401695,23;4366,25;49;43
GO;Centro-Oeste;2022;5;Maio;Outono;82;394260,9;4808,06;52;30
MG;Sudeste;2022;5;Maio;Outono;215;927364,59;4313,32;137;78
PE;Nordeste;2022;5;Maio;Outono;113;529560,5;4686,38;64;49
PR;Sul;2022;5;Maio;Outono;126;678614,18;5385,83;75;51
RJ;Sudeste;2022;5;Maio;Outono;344;1733611,18;5039,57;219;125
RS;Sul;2022;5;Maio;Outono;148;726797,58;4910,79;90;58
SC;Sul;2022;5;Maio;Outono;87;400093,25;4598,77;46;41
SP;Sudeste;2022;5;Maio;Outono;461;2313349,71;5018,11;272;189
BA;Nordeste;2022;6;Junho;Inverno;150;776059,24;5173,73;85;65
CE;Nordeste;2022;6;Junho;Inverno;124;774166,72;6243,28;79;45
GO;Centro-Oeste;2022;6;Junho;Inverno;86;397727,39;4624,74;62;24
MG;Sudeste;2022;6;Junho;Inverno;249;1381332,97;5547,52;155;94
PE;Nordeste;2022;6;Junho;Inverno;117;862419,39;7371,11;68;49
PR;Sul;2022;6;Junho;Inverno;136;768994,68;5654,37;92;44
